Pico,Culture,Id,Size,Size.sd,n,Abu,FSC
Syn,296,1,0.986194593415376,0.13043989171656356,1620,8100.2393969149725,0.19752032873599576
Syn,296,2,1.0829499914564968,0.1552425573112036,3090,8676.902606905898,0.25204681269297546
Syn,296,3,1.1498643329263625,0.18229518117695265,2280,9155.642807092838,0.27109819802228985
Syn,303,1,0.8862425481091853,0.07310917030816805,1440,39698.26757580357,0.13603679482664047
Syn,303,2,0.9345994542212357,0.10452130906691626,1667,38547.83400197392,0.18007239325691468
Syn,303,3,0.9236730025295032,0.09793615844109538,3977,59303.238891385634,0.17577263118876815
Syn,366,1,0.935305505564831,0.11042527589967711,2212,867.0293436302966,0.1973866792339158
Syn,366,2,0.9410606686303028,0.12103751971772259,1347,1191.297204123317,0.1984932807514104
Syn,366,3,0.9196113075172587,0.11743753767971786,1824,1392.4357205203169,0.19881893850436994
Pro,9313,1,0.8514963887212299,0.09331971656131804,2899,5952.103753103065,0.18447447100194317
Pro,9313,2,0.8852639992889931,0.10155757773543786,2620,6221.494900324742,0.21068226241175836
Pro,9313,3,0.9649834754697149,0.13313459756349266,2269,6512.946288205639,0.2349771234498424
Pro,L1A,1,0.6456169783180321,0.09968879429444516,2349,2657.684342806005,0.070923784422296
Pro,L1A,2,0.7099698633697623,0.08097632122531484,2548,2635.534409788499,0.08672921956979047
Pro,L1A,3,0.7500049145080114,0.09868420482524659,3669,2572.785493266685,0.10155073002945994
Pro,L2A,1,0.6411500005915409,0.09269790218464785,2416,4644.139842350456,0.06241322064693309
Pro,L2A,2,0.6725361930958814,0.11829562598480056,3596,4606.208488422119,0.07811844045179799
Pro,L2A,3,0.755463940040721,0.08735054501108787,2805,4854.172214154443,0.08653384121641523
Pro,med4,1,0.5784209545603934,0.09814692096504353,2906,18045.89290293047,0.04356935433695233
Pro,med4,2,0.6082226732848408,0.07489573450559675,3191,20255.563705303004,0.04511252357006182
Pro,med4,3,0.6705170469426879,0.07796662314625863,3697,21152.733955741962,0.04689845045771755
Peuk,20,1,1.3068224986905213,0.13275814661780472,1920,5678.955918390778,1.3353368835482184
Peuk,20,2,1.396984929292768,0.19276122505351326,3158,5529.11668498316,1.5217810008382031
Peuk,20,3,1.5177620964603866,0.22470728557181785,3840,6842.489087704,1.509158649305866
