Station,Id,Date0,Time0,Sample
SEATS,S1,2019/6/20,06:27:00,CTD
SEATS,S2,2019/6/20,07:30:00,self
SEATS,S3,2019/6/20,09:19:00,CTD
SEATS,S4,2019/6/20,10:30:00,self
SEATS,S5,2019/6/20,11:55:00,CTD
SEATS,S6,2019/6/20,13:35:00,self
SEATS,S7,2019/6/20,14:49:00,CTD
SEATS,S8,2019/6/20,16:30:00,self
SEATS,S9,2019/6/20,18:00:00,CTD
SEATS,S10,2019/6/20,19:30:00,self
SEATS,S11,2019/6/20,21:03:00,self
SEATS,S12,2019/6/20,22:30:00,self
SEATS,S13,2019/6/21,00:43:00,CTD
SEATS,S14,2019/6/21,01:40:00,self
SEATS,S15,2019/6/21,04:00:00,self
SEATS,S16,2019/6/21,05:00:00,self
SEATS,S17,2019/6/21,06:42:00,CTD
SEATS,S18,2019/6/21,08:00:00,self
SEATS,S19,2019/6/21,09:49:00,CTD
SEATS,S20,2019/6/21,11:00:00,self
SEATS,S21,2019/6/21,12:29:00,CTD
SEATS,S22,2019/6/21,14:00:00,self
SEATS,S23,2019/6/21,14:55:00,self
SEATS,S24,2019/6/21,17:04:00,CTD
SEATS,S25,2019/6/21,17:56:00,CTD
SEATS,S26,2019/6/21,19:30:01,self
SEATS,S27,2019/6/21,21:13:00,CTD
SEATS,S28,2019/6/21,22:30:01,self
SEATS,S29,2019/6/22,00:54:00,CTD
SEATS,S30,2019/6/22,02:05:00,self
SEATS,S31,2019/6/22,03:15:00,self
SEATS,S32,2019/6/22,04:31:00,CTD
SEATS,S33,2019/6/22,06:47:00,CTD
M4,M1,2019/6/24,18:42:00,CTD
M4,M2,2019/6/24,20:15:00,self
M4,M3,2019/6/24,21:30:00,self
M4,M4,2019/6/24,22:45:00,self
M4,M5,2019/6/25,00:21:00,CTD
M4,M6,2019/6/25,01:30:00,self
M4,M7,2019/6/25,03:00:00,self
M4,M8,2019/6/25,04:29:00,CTD
M4,M9,2019/6/25,06:20:00,CTD
M4,M10,2019/6/25,07:45:00,self
M4,M11,2019/6/25,09:30:00,CTD
M4,M12,2019/6/25,11:00:01,self
M4,M13,2019/6/25,12:34:00,CTD
M4,M14,2019/6/25,14:00:01,self
M4,M15,2019/6/25,15:20:00,self
M4,M16,2019/6/25,16:30:01,CTD
M4,M17,2019/6/25,18:26:00,CTD
M4,M18,2019/6/25,19:55:00,self
M4,M19,2019/6/25,21:45:00,CTD
M4,M20,2019/6/25,23:00:00,self
M4,M21,2019/6/26,00:30:00,self
M4,M22,2019/6/26,01:45:00,self
M4,M23,2019/6/26,03:00:01,self
M4,M24,2019/6/26,04:30:00,self
M4,M25,2019/6/26,06:22:00,CTD
M4,M26,2019/6/26,07:45:01,self
M4,M27,2019/6/26,09:15:00,CTD
M4,M28,2019/6/26,10:45:00,self
M4,M29,2019/6/26,12:22:00,CTD
M4,M30,2019/6/26,13:45:00,self
M4,M31,2019/6/26,15:05:00,self
M4,M32,2019/6/26,16:30:02,self
M4,M33,2019/6/26,18:10:00,self
K11,K1,2019/6/30,18:28:00,CTD
K11,K2,2019/6/30,20:00:00,self
K11,K3,2019/6/30,21:45:01,CTD
K11,K4,2019/6/30,23:00:01,self
K11,K5,2019/7/1,00:15:01,self
K11,K6,2019/7/1,01:30:02,self
K11,K7,2019/7/1,03:00:03,self
K11,K8,2019/7/1,04:07:00,CTD
K11,K9,2019/7/1,06:30:00,CTD
K11,K10,2019/7/1,07:55:00,self
K11,K11,2019/7/1,09:15:01,self
K11,K12,2019/7/1,10:05:00,CTD
K11,K13,2019/7/1,12:35:00,self
K11,K14,2019/7/1,13:45:02,self
K11,K15,2019/7/1,15:00:00,self
K11,K16,2019/7/1,16:30:03,self
K11,K17,2019/7/1,18:30:00,CTD
